"Year numeric",Gender,Age,Country,"New Zealand European",Maori,Samoan,"Cook Islands Maori",Tongan,Niuean,Chinese,Indian,"Other ethnicity",Height,"Left foot length","Travel method to school","Time standing on left leg",TV,Radio,"Print publications (newspapers/magazines)","News websites or apps","Social media like YouTube, Facebook, Twitter, or Instagram","Search through Google or other search engines",Podcasts,"Favourite animated movie","Feeling about learning at home vs school"
6,Male,10,"New Zealand",yes,no,no,no,no,no,no,no,,148,22.4,motor,3,sometimes,often,never,rarely,often,rarely,sometimes,"Pok̩mon the Movie: I Choose You!",better
9,Female,13,England,yes,no,no,no,no,no,no,no,"Dutch, British",157,22.9,bike,161,often,rarely,rarely,sometimes,sometimes,sometimes,never,"My Neighbor Totoro",aboutthesame
7,Female,12,"New Zealand",yes,yes,no,no,no,no,no,no,,171,22.0,bus,247,often,rarely,never,sometimes,sometimes,sometimes,rarely,"Don't have one",aboutthesame
9,Male,13,"New Zealand",yes,no,no,yes,no,no,no,no,,165,26.0,bike,58,often,rarely,never,rarely,sometimes,sometimes,rarely,"Don't have one",worse
9,Female,13,"New Zealand",no,no,no,no,no,no,no,yes,Fijian,169,27.0,motor,18,rarely,rarely,never,often,sometimes,never,never,"Don't have one",worse
6,Male,11,"New Zealand",yes,yes,no,no,no,no,no,no,,152,25.0,motor,12,often,sometimes,rarely,often,sometimes,often,never,"Don't have one",aboutthesame
6,Female,11,Australia,yes,no,no,no,no,no,no,no,,145,22.0,bike,27,sometimes,,,,,,,"Don't have one",aboutthesame
9,Female,13,"New Zealand",no,no,no,no,no,no,no,no,"Indonesian, Irish",170,25.0,skateboard,97,rarely,sometimes,never,sometimes,never,sometimes,never,"Howl's Moving Castle",better
8,Female,12,"New Zealand",yes,no,no,no,no,no,no,no,,163,23.0,scooter,19,never,never,never,never,never,never,never,"Raya and the Last Dragon",worse
11,Male,16,"New Zealand",yes,no,no,no,no,no,no,no,,174,26.0,bus,47,rarely,never,sometimes,rarely,sometimes,sometimes,never,"Don't have one",aboutthesame
8,Female,12,"New Zealand",yes,no,no,no,no,no,no,no,,171,23.0,motor,56,often,never,never,never,never,rarely,never,Trolls,worse
5,Male,9,"New Zealand",no,yes,no,no,no,no,no,no,,149,22.0,motor,25,,,,,often,,,"Don't have one",aboutthesame
5,Female,9,"New Zealand",yes,no,no,no,no,no,no,no,,139,20.0,motor,6,often,never,never,often,never,never,never,"Teen Titans Go! To the Movies",better
7,Female,11,"New Zealand",no,no,no,no,no,no,yes,no,,154,23.0,motor,17,rarely,rarely,never,sometimes,often,rarely,never,"Your name.",aboutthesame
7,Male,12,"New Zealand",yes,no,no,no,no,no,no,no,,135,26.0,walk,18,sometimes,never,never,sometimes,often,never,never,"Don't have one",muchworse
13,Male,17,"New Zealand",yes,yes,no,no,no,no,no,no,,177,26.5,motor,24,never,never,never,never,sometimes,never,rarely,"Don't have one",better
9,Female,13,"New Zealand",no,yes,no,no,no,yes,no,no,,160,24.0,motor,11,often,never,never,sometimes,often,rarely,never,Luca,worse
5,Female,10,Australia,yes,yes,no,no,no,no,no,no,,142,22.5,motor,80,sometimes,never,never,rarely,often,often,often,"Spider-Man: Into the Spider-Verse",muchbetter
9,Female,13,"New Zealand",yes,yes,yes,no,no,no,no,no,,170,23.7,bus,15,often,rarely,rarely,sometimes,sometimes,sometimes,never,Luca,worse
10,Male,14,"New Zealand",yes,yes,no,no,no,no,no,no,,176,26.0,walk,8,often,often,rarely,never,often,never,never,Pinocchio,aboutthesame
7,Female,12,"New Zealand",no,no,no,no,no,no,no,no,Korean,147,24.0,bus,10,sometimes,never,rarely,rarely,often,often,never,Luca,worse
8,Female,13,"New Zealand",yes,no,no,no,no,no,no,no,,157,23.0,bus,7,sometimes,rarely,never,rarely,never,sometimes,never,"Finding Dory",muchbetter
6,Female,10,"New Zealand",yes,no,no,no,no,no,no,no,,154,22.0,bus,360,sometimes,sometimes,rarely,often,never,rarely,sometimes,"Peter Rabbit",aboutthesame
8,Female,12,Thailand,no,no,no,no,no,no,no,no,Thai,144,21.0,scooter,37,never,rarely,never,sometimes,often,never,rarely,"101 Dalmatians II: Patch's London Adventure",worse
9,Female,13,"New Zealand",no,no,no,no,no,no,no,no,Thai,160,26.0,motor,12,rarely,rarely,rarely,often,often,often,rarely,Coraline,worse
9,Male,14,"New Zealand",yes,no,no,no,no,no,no,no,,166,24.0,motor,7,rarely,rarely,never,never,often,sometimes,never,"Toy Story",better
6,Male,10,"New Zealand",yes,no,no,no,no,no,no,no,,135,24.5,motor,9,rarely,often,never,never,never,never,never,"Don't have one",worse
7,Female,12,Japan,no,no,no,no,no,no,no,no,Japanese,150,16.0,motor,500,never,never,never,sometimes,sometimes,often,rarely,"Don't have one",worse
5,Female,9,"New Zealand",yes,no,no,no,no,no,no,no,"South African",140,21.0,motor,18,rarely,rarely,never,never,never,never,never,"Don't have one",worse
4,Female,8,"New Zealand",yes,no,no,no,no,no,no,no,,140,19.5,bus,170,sometimes,often,never,sometimes,never,sometimes,never,"The Mitchells vs. the Machines",aboutthesame
7,Male,11,"South Africa",yes,no,no,no,no,no,no,no,,157,25.0,scooter,21,often,rarely,never,often,often,sometimes,rarely,"Don't have one",better
6,Male,11,"New Zealand",yes,no,no,no,no,no,no,no,,140,23.0,motor,5,rarely,never,never,sometimes,often,often,never,"Don't have one",aboutthesame
7,Male,11,"New Zealand",no,no,no,no,no,no,yes,no,,149,23.3,motor,16,never,never,never,rarely,often,often,sometimes,"Your name.",muchworse
10,Female,15,"New Zealand",yes,no,no,no,no,no,no,no,,161,24.0,walk,240,often,rarely,rarely,sometimes,sometimes,sometimes,never,Cars,worse
7,Male,11,"New Zealand",yes,no,no,no,no,no,yes,no,,143,22.0,bus,102,often,rarely,rarely,often,often,often,never,Onward,better
8,Female,12,"New Zealand",yes,no,no,yes,no,no,no,no,,163,28.0,motor,190,sometimes,rarely,rarely,often,often,sometimes,rarely,"Don't have one",aboutthesame
7,Female,11,"New Zealand",yes,no,no,no,no,no,no,no,,154,25.0,scooter,18,sometimes,rarely,never,rarely,never,rarely,never,"Don't have one",worse
10,Male,14,China,no,no,no,no,no,no,yes,no,,179,29.0,walk,25,never,never,sometimes,often,often,sometimes,never,"Don't have one",better
8,Male,12,"New Zealand",yes,no,no,no,no,no,no,no,,145,22.0,walk,360,rarely,,,,,,,"Don't have one",worse
9,Female,13,India,no,no,no,no,no,no,no,yes,,160,24.0,motor,61,often,sometimes,never,sometimes,often,rarely,never,"Don't have one",aboutthesame
7,Male,11,"New Zealand",no,yes,no,no,no,no,no,no,,155,25.0,motor,9,often,,,often,often,,,"Spider-Man: Into the Spider-Verse",better
8,Female,12,"New Zealand",no,yes,no,no,no,no,no,no,,174,21.0,motor,13,sometimes,rarely,never,sometimes,sometimes,rarely,never,"Don't have one",worse
7,Male,11,"New Zealand",yes,no,no,no,no,no,no,no,,156,26.0,bus,26,often,rarely,never,never,sometimes,often,sometimes,"Spirited Away",worse
6,Female,10,"New Zealand",yes,no,no,no,no,no,no,no,,162,27.0,walk,12,sometimes,sometimes,never,never,sometimes,sometimes,never,"The Simpsons Movie",better
10,Female,14,"New Zealand",yes,no,no,no,no,no,no,no,,176,23.0,motor,4,rarely,never,never,never,never,rarely,never,"Don't have one",aboutthesame
8,Male,12,"New Zealand",yes,yes,no,no,no,no,no,no,,170,28.0,motor,256,sometimes,never,never,never,sometimes,sometimes,never,"Astro Boy",worse
6,Female,10,"New Zealand",no,no,no,no,no,no,no,no,English,139,20.5,motor,39,never,sometimes,never,never,never,rarely,never,"The Simpsons Movie",aboutthesame
