"Year numeric",Gender,Age,Country,"New Zealand European",Maori,Samoan,"Cook Islands Maori",Tongan,Niuean,Chinese,Indian,"Other ethnicity",Height,"Left foot length","Travel method to school","Time standing on left leg",TV,Radio,"Print publications (newspapers/magazines)","News websites or apps","Social media like YouTube, Facebook, Twitter, or Instagram","Search through Google or other search engines",Podcasts,"Favourite animated movie","Feeling about learning at home vs school"
10,Female,14,"New Zealand",yes,no,no,no,no,no,yes,no,Filipino,170,24.0,motor,3,often,never,never,never,often,sometimes,never,"Don't have one",aboutthesame
10,They/she,14,"New Zealand",no,no,no,no,no,no,no,no,"Norwegian, Finnish",170,24.0,bus,35,often,sometimes,often,often,often,often,rarely,Bolt,worse
9,Female,14,"New Zealand",yes,yes,no,no,no,no,no,no,,159,23.0,bus,14,never,never,never,often,often,rarely,rarely,"How To Train Your Dragon",muchworse
8,Female,12,"New Zealand",yes,no,no,no,no,no,no,no,,155,19.0,walk,10,sometimes,never,never,never,never,never,never,"Don't have one",muchbetter
10,Female,14,"New Zealand",yes,no,no,no,no,no,no,no,,177,26.0,walk,25,often,rarely,rarely,sometimes,rarely,sometimes,never,"Cars 2",muchworse
7,Male,11,"United States of America",no,no,no,no,no,no,no,no,Japanese,140,22.5,bus,13,rarely,never,never,rarely,rarely,sometimes,never,"Don't have one",aboutthesame
6,Female,6,"New Zealand",yes,no,no,no,no,no,no,no,,154,21.0,motor,95,sometimes,never,never,never,often,never,never,"Don't have one",worse
8,Female,13,"New Zealand",no,yes,no,no,no,no,no,no,,165,23.0,other,19,rarely,rarely,rarely,rarely,often,sometimes,often,"The Last: Naruto the Movie",muchbetter
11,Female,15,"New Zealand",yes,no,no,no,no,no,no,no,,159,22.5,bus,4,sometimes,sometimes,sometimes,rarely,sometimes,sometimes,never,"Don't have one",aboutthesame
9,Male,13,"New Zealand",yes,no,no,no,no,no,no,no,,153,26.0,bus,60,rarely,rarely,rarely,rarely,often,rarely,never,"Don't have one",muchbetter
9,Male,13,"New Zealand",yes,no,no,no,no,no,no,no,,166,26.5,walk,14,never,rarely,never,never,sometimes,never,never,"Don't have one",aboutthesame
4,Male,8,England,yes,no,no,no,no,no,no,no,,142,12.0,motor,20,rarely,never,never,rarely,sometimes,rarely,never,"Marvel Rising: Secret Warriors",muchworse
10,Female,14,"New Zealand",yes,no,no,no,no,no,no,no,,163,22.9,bus,59,sometimes,rarely,rarely,rarely,often,rarely,never,Tangled,aboutthesame
6,Male,10,"New Zealand",yes,no,no,no,no,no,no,no,German,141,21.0,scooter,18,,often,,,,,,"The Mitchells vs. the Machines",aboutthesame
9,Female,13,Nepal,no,no,no,no,no,no,no,no,Nepalese,156,21.0,motor,52,rarely,sometimes,rarely,often,sometimes,often,rarely,"Don't have one",worse
12,Non-binary,17,"New Zealand",yes,no,no,no,no,no,no,no,"Polish, Romanian, English",177,27.5,walk,102,often,rarely,rarely,sometimes,sometimes,sometimes,sometimes,"Don't have one",muchbetter
8,Female,13,"New Zealand",yes,no,no,no,no,no,no,no,,156,22.0,walk,15,rarely,rarely,rarely,rarely,often,rarely,rarely,"Don't have one",aboutthesame
10,Male,15,"New Zealand",yes,yes,no,no,no,no,no,no,,185,26.5,motor,80,often,rarely,rarely,rarely,sometimes,sometimes,never,Cars,aboutthesame
7,Agender,11,"New Zealand",yes,yes,no,no,no,no,no,no,,150,21.0,motor,34,never,never,,never,often,rarely,never,"Don't have one",muchbetter
9,Male,13,"New Zealand",yes,no,no,no,no,no,no,no,Japanese,179,30.5,motor,169,never,never,never,rarely,sometimes,sometimes,never,"Don't have one",aboutthesame
11,Female,16,"New Zealand",yes,yes,no,no,no,no,no,no,,163,21.0,bus,12,often,rarely,sometimes,often,often,often,rarely,"Don't have one",worse
9,Male,13,"New Zealand",yes,no,no,no,no,no,no,no,,158,25.0,bus,55,sometimes,sometimes,never,often,sometimes,often,rarely,"Spider-Man: Into the Spider-Verse",muchbetter
7,Female,11,"New Zealand",yes,no,no,no,yes,no,no,no,,150,21.0,walk,285,rarely,never,sometimes,sometimes,rarely,never,never,"How To Train Your Dragon",aboutthesame
7,Male,11,"New Zealand",yes,no,no,no,no,no,no,no,,156,24.0,bike,2,sometimes,sometimes,sometimes,never,often,never,never,"Don't have one",muchworse
9,Male,13,Australia,yes,yes,no,no,no,no,no,no,,172,26.1,bus,32,often,often,sometimes,rarely,often,sometimes,often,"Shrek 2",muchworse
5,Male,9,"New Zealand",yes,no,no,no,no,no,no,no,"New Zealander",136,20.1,motor,15,often,never,rarely,never,sometimes,rarely,never,"Don't have one",better
7,Male,11,"New Zealand",yes,no,no,no,no,no,no,no,,155,24.0,motor,23,rarely,often,never,never,often,never,never,"Finding Dory",better
5,Female,9,"New Zealand",no,no,no,no,no,no,no,no,"New Zealander",141,18.0,motor,32,often,never,never,rarely,often,never,never,Moana,muchbetter
7,Male,11,"New Zealand",yes,no,no,no,no,no,no,no,,150,23.0,motor,93,often,sometimes,rarely,sometimes,rarely,often,sometimes,"The Mitchells vs. the Machines",aboutthesame
12,Female,16,"New Zealand",yes,yes,no,no,no,no,no,yes,,173,21.0,walk,52,sometimes,rarely,never,sometimes,often,sometimes,sometimes,"Barbie as the Island Princess",aboutthesame
9,Female,13,"New Zealand",yes,no,no,no,no,no,no,no,,155,22.0,other,10,sometimes,rarely,rarely,sometimes,often,often,often,"South Park: Bigger, Longer &amp; Uncut",muchbetter
10,Male,14,"New Zealand",no,yes,no,no,no,no,no,no,,193,14.4,bus,24,sometimes,sometimes,never,never,sometimes,rarely,never,"Don't have one",better
